214,太阳所锺爱之树,太阳所钟爱之树 ,-10
259,奇岩的宗教城市,奇岩的宗教都市,-9
103,粉红色大鸟,粉色大鸟,-8
139,约鲁巴的神话,约鲁巴族的神话,-8
146,海上的交易路线,海上交易路线,-8
163,波斯的大海,波斯的海,-8
164,保持红海透明度的海峡,维持红海透明度的海峡,-8
166,带来混乱的神,带来骚乱的神,-8
174,安纳托利亚半岛的古文明,安纳托利亚半岛的古代文明,-8
194,印度洋的岛,印度洋的岛屿,-8
204,珍珠鸡的羽毛,珍珠鸡羽毛,-8
223,印度的母河,印度的母亲河,-8
230,宝石之岛,宝石岛,-8
233,埃及最後的王朝,埃及最后的王朝,-8
239,杀人章鱼,食人章鱼,-8
243,产宝石的贝壳,生产宝石的贝壳,-8
272,迪朗达鲁,迪朗达尔,-8
292,海中的恶魔,海里的恶魔,-8
308,大帝的逸闻,大帝的趣闻,-8
326,黑色的猛兽,黑色猛兽,-8
335,永远的矢车菊,永恒的矢车菊,-8
475,马雅的艺术,玛雅的艺术,-8
490,袭击乌类的鸟,袭击鸟类的鸟,-8
491,阿兹特克之夜神,阿兹特克的夜神,-8
505,具有腹袋的动物雕像,拥有腹袋的动物雕像,-8
511,成了玛雅人的西班牙人,成为玛雅人的西班牙人,-8
537,想记载於图鉴中,想记载于图鉴中,-8
540,苏门达腊东南边的岛屿,苏门答腊东南边的岛屿,-8
561,追求血和心脏的理由,寻求血和心脏的理由,-8
562,第五世界,第五个世界,-8
582,调查马尼拉东方海域,调查马尼拉东方的海域,-8
588,第二次的环游世界,第二次环游世界,-8
602,进行追踪吧,进行追踪,-8
603,南边大陆的生活情况,南方大陆的生活情况,-8
605,会动的针山,活动的针山,-8
641,粉红色的鸟,桃红色的鸟,-8
46,发光的昆虫,发光的虫子,-7
48,飞天小松鼠,小飞鼠,-7
68,逃跑的很快的兔子,逃得很快的兔子,-7
75,通往卡利卡特的路标,前往卡利卡特的航标,-7
115,调查吉萨的金字塔,调查吉萨金字塔,-7
120,大西洋的正中央,大西洋的中央,-7
